(2017-25-08 13:38:31), INFO, <MainThread>, logging_init, <module>, [69]: 测试脚本
(2017-25-08 13:38:31), ERROR, <MainThread>, logging_init, <module>, [70]: 错误信息
(2017-25-08 13:38:31), WARNING, <MainThread>, logging_init, test, [56]: 函数调用
(2017-25-08 13:38:31), CRITICAL, <MainThread>, logging_init, test2, [61]: 同名调用
(2017-25-08 14:05:31), INFO, <MainThread>, logging_init, <module>, [69]: 测试脚本
(2017-25-08 14:05:31), ERROR, <MainThread>, logging_init, <module>, [70]: 错误信息
(2017-25-08 14:05:31), WARNING, <MainThread>, logging_init, test, [56]: 函数调用
(2017-25-08 14:05:31), CRITICAL, <MainThread>, logging_init, test2, [61]: 同名调用
(2017-25-08 14:06:02), INFO, <MainThread>, logging_init, <module>, [69]: 测试脚本
(2017-25-08 14:06:02), ERROR, <MainThread>, logging_init, <module>, [70]: 错误信息
(2017-25-08 14:06:02), WARNING, <MainThread>, logging_init, test, [56]: 函数调用
(2017-25-08 14:06:02), CRITICAL, <MainThread>, logging_init, test2, [61]: 同名调用
(2017-25-08 14:06:25), WARNING, <MainThread>, logging_init, test, [56]: 函数调用
(2017-25-08 14:06:25), CRITICAL, <MainThread>, logging_init, test2, [61]: 同名调用
